NAME                                                                          VERSION                                              TYPE      
gpg-wks-client                                                                2.2.40-1                                             deb
gpg-wks-server                                                                2.2.40-1                                             deb
gpgconf                                                                       2.2.40-1                                             deb
gpgsm                                                                         2.2.40-1                                             deb
gpgv                                                                          2.2.40-1                                             deb
graceful-fs                                                                   4.2.10                                               npm
grep                                                                          3.6-1                                                deb
gzip                                                                          1.10-4+deb11u1                                       deb
has                                                                           1.0.3                                                npm
has-flag                                                                      4.0.0                                                npm
has-unicode                                                                   2.0.1                                                npm
hosted-git-info                                                               5.1.0                                                npm
hostname                                                                      3.23                                                 deb
http-cache-semantics                                                          4.1.0                                                npm
http-proxy-agent                                                              5.0.0                                                npm
https-proxy-agent                                                             5.0.1                                                npm
humanize-ms                                                                   1.2.1                                                npm
iconv-lite                                                                    0.6.3                                                npm
ignore-walk                                                                   5.0.1                                                npm
imurmurhash                                                                   0.1.4                                                npm
indent-string                                                                 4.0.0                                                npm
infer-owner                                                                   1.0.4                                                npm
inflight                                                                      1.0.6                                                npm
inherits                                                                      2.0.4                                                npm
ini                                                                           3.0.1                                                npm
init-package-json                                                             3.0.2                                                npm
init-system-helpers                                                           1.60                                                 deb
ip                                                                            2.0.0                                                npm
ip-regex                                                                      4.3.0                                                npm
is-cidr                                                                       4.0.2                                                npm
is-core-module                                                                2.10.0                                               npm
is-fullwidth-code-point                                                       3.0.0                                                npm
is-lambda                                                                     1.0.1                                                npm
isexe                                                                         2.0.0                                                npm
jq                                                                            1.6-2.1                                              deb
json-parse-even-better-errors                                                 2.3.1                                                npm
json-stringify-nice                                                           1.1.4                                                npm
jsonparse                                                                     1.3.1                                                npm
just-diff                                                                     5.1.1                                                npm
just-diff-apply                                                               5.4.1                                                npm
k8s.io/api                                                                    v0.22.4                                              go-module
k8s.io/apimachinery                                                           v0.22.4                                              go-module
k8s.io/client-go                                                              v0.22.4                                              go-module
k8s.io/klog/v2                                                                v2.30.0                                              go-module
k8s.io/utils                                                                  v0.0.0-20210930125809-cb0fa318a74b                   go-module
libacl1                                                                       2.2.53-10                                            deb
libapr1                                                                       1.7.0-6+deb11u1                                      deb
libaprutil1                                                                   1.6.1-5                                              deb
libapt-pkg6.0                                                                 2.2.4                                                deb
libarchive13                                                                  3.6.0-1                                              deb
libasan6                                                                      10.2.1-6                                             deb
libasan8                                                                      12.2.0-9                                             deb
libassuan0                                                                    2.5.3-7.1                                            deb
libatomic1                                                                    12.2.0-9                                             deb
libattr1                                                                      1:2.4.48-6                                           deb
